Men,71
Women,7
Total Jewellery,7575
Total Rings,2835
Total Earrings,2302
Men's Jewellery,420
Women's Jewellery,5390
Men's Rings,363
Women's Rings,2269
Women's Earrings,1641
Men's Silver,60
Women's Silver,193
