Keyword,Total Item Count
Men,226
Women,24
Rings,1470
Men Rings,161
Women Rings,3
Earring,495
Women Earring,3
Diamond,1713
Men Diamond,25
Women Diamond,16
Silver,601
Necklaces,1758
Women Necklaces,3
Bracelets,1
Pendant Sets,48
Necklace Sets,82
Harams,4
Bangles,1106
Men Bangles,4
Nose Pins,42
Solitaire,45
Men Solitaire,4
