Keyword,Total Item Count
Men,27
Women,33
Rings,235
Earring,596
Diamond,1020
Silver,129
Necklaces,152
Men's Ring,7
Women's Ring,6
Men's Earing,3
Men's Diamond,8
Women's Diamond,9
Men's Gold,11
Women's Gold,9
Men's Silver,0
Women's Silver,0
Men's Necklaces,0
Women's Necklaces,0
